snapshot_date,week_start,project_id,equipment_type,commissioning_level,equipment_count,total_lines,completed_lines,open_lines,completion_pct,last_synced
2026-09-08,2026-09-07,39282,PAC,L3,4,104,0,104,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,PAS,L1,8,168,168,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,PAS,L2,8,280,0,280,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,PAS,L3,8,208,0,208,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,PLC,L1,1,20,19,1,95.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,PLC,L2,1,35,0,35,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,PLC,L3,1,26,0,26,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,RPP,L1,16,320,320,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,RPP,L2,16,560,0,560,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,RPP,L3,16,416,0,416,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,STS,L1,24,480,480,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,STS,L2,24,840,7,833,0.83,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,STS,L3,24,624,0,624,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,TES,L1,18,360,120,240,33.33,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,TES,L2,18,630,0,630,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,TES,L3,18,468,0,468,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,TRN,L1,8,168,168,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,TRN,L2,8,320,320,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,TRN,L3,8,208,0,208,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,UDP,L1,24,480,480,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,UDP,L2,24,840,168,672,20.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,UDP,L3,24,624,0,624,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,UPB,L1,24,480,480,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,UPB,L2,24,840,0,840,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,UPB,L3,24,624,0,624,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,UPS,L1,24,480,480,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,UPS,L2,24,840,1,839,0.12,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,UPS,L3,24,624,0,624,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,VES,L1,59,1180,980,200,83.05,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,VES,L2,59,2065,0,2065,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,VES,L3,59,1534,0,1534,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,VRF,L1,15,311,311,0,100.0,2026-09-08T13:35:08.662975+00:00
