project_id,equipment_id,name,type,discipline,building,floor,space,status,area_type,equipment_supplier,floor,installing_contractor,location,logistics_category_1,manufacturer,model_name,model_number,phase,serial_number,tranche,vendor,systems,no_tag_date,no_tag_person,l1_red_tag_date,l1_red_tag_person,conditional_yellow_tag_date,conditional_yellow_tag_person,l2_yellow_tag_date,l2_yellow_tag_person,energized_date,energized_person,l3_green_tag_date,l3_green_tag_person,l4_blue_tag_date,l4_blue_tag_person,l5_white_tag_date,l5_white_tag_person,current_stage,current_stage_date,current_stage_person,last_synced
39282,8742461,EDCKUL21ACS01420,ACS,Mechanical,,,CORRIDOR,NO TAG,IT,Promatrix DCS,,Promatrix DCS,,,,,,,,1,Chen Guan,Block AH,2025-01-27 10:42:36,Aaron Asir,,,,,,,,,,,,,,,No Tag,2025-01-27 10:42:36,Aaron Asir,2026-09-12T20:09:40.124047+00:00
39282,8742462,EDCKUL21ACS01430,ACS,Mechanical,,,CORRIDOR,NO TAG,IT,Promatrix DCS,,Promatrix DCS,,,,,,,,1,Chen Guan,Block AH,2025-01-27 10:42:36,Aaron Asir,,,,,,,,,,,,,,,No Tag,2025-01-27 10:42:36,Aaron Asir,2026-09-12T20:09:40.124047+00:00
39282,8742463,EDCKUL21ACS01440,ACS,Mechanical,,,CORRIDOR,NO TAG,IT,Promatrix DCS,,Promatrix DCS,,,,,,,,1,Chen Guan,Block AH,2025-01-27 10:42:36,Aaron Asir,,,,,,,,,,,,,,,No Tag,2025-01-27 10:42:36,Aaron Asir,2026-09-12T20:09:40.124047+00:00
39282,8742464,EDCKUL21ACS01450,ACS,Mechanical,,,ECX STORAGE,NO TAG,IT,Promatrix DCS,,Promatrix DCS,,,,,,,,1,Chen Guan,Block AH,2025-01-27 10:42:36,Aaron Asir,,,,,,,,,,,,,,,No Tag,2025-01-27 10:42:36,Aaron Asir,2026-09-12T20:09:40.124047+00:00
39282,8742467,EDCKUL21ACS01510,ACS,Mechanical,,,EU CORRIDOR,NO TAG,IT,Promatrix DCS,,Promatrix DCS,,,,,,,,1,Chen Guan,Block AH,2025-01-27 10:42:36,Aaron Asir,,,,,,,,,,,,,,,No Tag,2025-01-27 10:42:36,Aaron Asir,2026-09-12T20:09:40.124047+00:00
39282,8742468,EDCKUL21ACS01520,ACS,Mechanical,,,EU CORRIDOR,NO TAG,IT,Promatrix DCS,,Promatrix DCS,,,,,,,,1,Chen Guan,Block AH,2025-01-27 10:42:36,Aaron Asir,,,,,,,,,,,,,,,No Tag,2025-01-27 10:42:36,Aaron Asir,2026-09-12T20:09:40.124047+00:00
39282,8742469,EDCKUL21ACS01530,ACS,Mechanical,,,FREIGHT LIFT LOBBY,L1 RED TAG,IT,Promatrix DCS,,Promatrix DCS,2F - Freight Lift Lobby,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-09HJFKA,,QCKAKN3Z9002,1,Chen Guan,Block AH,2025-01-27 10:42:36,Aaron Asir,2026-08-13 02:06:28,Nadhirah Mazlan,,,,,,,,,,,,,L1 Red Tag,2026-08-13 02:06:28,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742470,EDCKUL21ACS01540,ACS,Mechanical,,,OFFICE CORRIDOR,L1 RED TAG,IT,Promatrix DCS,,Promatrix DCS,2F - Office Corridor,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-09HJFKA,,QCKAKN3Z9008,1,Chen Guan,Block AH,2025-01-27 10:42:36,Aaron Asir,2026-08-13 02:08:31,Nadhirah Mazlan,,,,,,,,,,,,,L1 Red Tag,2026-08-13 02:08:31,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742471,EDCKUL21ACS01550,ACS,Mechanical,,,OFFICE CORRIDOR,L1 RED TAG,IT,Promatrix DCS,,Promatrix DCS,2F - Office Corridor,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-09HJFKA,,QCKAKN3Z900C,1,Chen Guan,Block AH,2025-01-27 10:42:37,Aaron Asir,2026-08-13 02:09:30,Nadhirah Mazlan,,,,,,,,,,,,,L1 Red Tag,2026-08-13 02:09:30,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742472,EDCKUL21ACS01560,ACS,Mechanical,,,EU STORAGE,L1 RED TAG,IT,Promatrix DCS,,Promatrix DCS,2F - EU Storage,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-09HJFKA,,QCKAKN3Z9003,1,Chen Guan,Block AH,2025-01-27 10:42:37,Aaron Asir,2026-08-13 02:10:52,Nadhirah Mazlan,,,,,,,,,,,,,L1 Red Tag,2026-08-13 02:10:52,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
