snapshot_date,week_start,project_id,commissioning_level,equipment_count,checklist_count,total_lines,completed_lines,open_lines,completion_pct,last_synced
2026-09-09,2026-09-07,51203,Overall,531,1593,43011,3961,39050,9.21,2026-09-08T20:42:36.043376+00:00
2026-09-09,2026-09-07,51204,L1,476,476,9520,3107,6413,32.64,2026-09-08T20:42:36.043376+00:00
2026-09-09,2026-09-07,51204,L2,476,476,16660,188,16472,1.13,2026-09-08T20:42:36.043376+00:00
2026-09-09,2026-09-07,51204,L3,476,476,12376,0,12376,0.0,2026-09-08T20:42:36.043376+00:00
2026-09-09,2026-09-07,51204,Overall,476,1428,38556,3295,35261,8.55,2026-09-08T20:42:36.043376+00:00
2026-09-09,2026-09-07,52047,L1,412,412,8240,3346,4894,40.61,2026-09-08T20:42:36.043376+00:00
2026-09-09,2026-09-07,52047,L2,412,412,14420,119,14301,0.83,2026-09-08T20:42:36.043376+00:00
2026-09-09,2026-09-07,52047,L3,412,412,10712,0,10712,0.0,2026-09-08T20:42:36.043376+00:00
2026-09-09,2026-09-07,52047,Overall,412,1236,33372,3465,29907,10.38,2026-09-08T20:42:36.043376+00:00
2026-09-09,2026-09-07,52048,L1,402,402,8040,2803,5237,34.86,2026-09-08T20:42:36.043376+00:00
2026-09-09,2026-09-07,52048,L2,402,402,14070,98,13972,0.7,2026-09-08T20:42:36.043376+00:00
2026-09-09,2026-09-07,52048,L3,402,402,10452,14,10438,0.13,2026-09-08T20:42:36.043376+00:00
2026-09-09,2026-09-07,52048,Overall,402,1206,32562,2915,29647,8.95,2026-09-08T20:42:36.043376+00:00
2026-09-10,2026-09-07,39282,L1,693,693,14101,11756,2345,83.37,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,39282,L2,693,727,26011,7921,18090,30.45,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,39282,L3,693,693,18018,143,17875,0.79,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,39282,Overall,693,2113,58130,19820,38310,34.1,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,40875,L1,709,709,14621,13186,1435,90.19,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,40875,L2,709,746,28138,10891,17247,38.71,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,40875,L3,709,709,18434,69,18365,0.37,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,40875,Overall,709,2164,61193,24146,37047,39.46,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,51203,L1,531,531,10620,3793,6827,35.72,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,51203,L2,531,531,18585,162,18423,0.87,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,51203,L3,531,531,13806,7,13799,0.05,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,51203,Overall,531,1593,43011,3962,39049,9.21,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,51204,L1,476,476,9520,3107,6413,32.64,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,51204,L2,476,476,16660,188,16472,1.13,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,51204,L3,476,476,12376,0,12376,0.0,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,51204,Overall,476,1428,38556,3295,35261,8.55,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,52047,L1,412,412,8240,3346,4894,40.61,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,52047,L2,412,412,14420,119,14301,0.83,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,52047,L3,412,412,10712,0,10712,0.0,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,52047,Overall,412,1236,33372,3465,29907,10.38,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,52048,L1,402,402,8040,2843,5197,35.36,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,52048,L2,402,402,14070,98,13972,0.7,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,52048,L3,402,402,10452,14,10438,0.13,2026-09-09T20:23:23.056133+00:00
2026-09-10,2026-09-07,52048,Overall,402,1206,32562,2955,29607,9.07,2026-09-09T20:23:23.056133+00:00
2026-09-11,2026-09-07,39282,L1,693,693,14101,11826,2275,83.87,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,39282,L2,693,727,26011,7942,18069,30.53,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,39282,L3,693,693,18018,143,17875,0.79,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,39282,Overall,693,2113,58130,19911,38219,34.25,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,40875,L1,709,709,14621,13186,1435,90.19,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,40875,L2,709,746,28138,11108,17030,39.48,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,40875,L3,709,709,18434,70,18364,0.38,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,40875,Overall,709,2164,61193,24364,36829,39.82,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,51203,L1,531,531,10620,3793,6827,35.72,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,51203,L2,531,531,18585,162,18423,0.87,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,51203,L3,531,531,13806,7,13799,0.05,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,51203,Overall,531,1593,43011,3962,39049,9.21,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,51204,L1,476,476,9520,3107,6413,32.64,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,51204,L2,476,476,16660,188,16472,1.13,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,51204,L3,476,476,12376,3,12373,0.02,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,51204,Overall,476,1428,38556,3298,35258,8.55,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,52047,L1,412,412,8240,3346,4894,40.61,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,52047,L2,412,412,14420,119,14301,0.83,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,52047,L3,412,412,10712,0,10712,0.0,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,52047,Overall,412,1236,33372,3465,29907,10.38,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,52048,L1,402,402,8040,2843,5197,35.36,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,52048,L2,402,402,14070,98,13972,0.7,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,52048,L3,402,402,10452,14,10438,0.13,2026-09-10T20:25:39.978703+00:00
2026-09-11,2026-09-07,52048,Overall,402,1206,32562,2955,29607,9.07,2026-09-10T20:25:39.978703+00:00
2026-09-12,2026-09-07,39282,L1,693,693,14101,11826,2275,83.87,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,39282,L2,693,727,26011,8004,18007,30.77,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,39282,L3,693,693,18018,143,17875,0.79,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,39282,Overall,693,2113,58130,19973,38157,34.36,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,40875,L1,709,709,14621,13186,1435,90.19,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,40875,L2,709,746,28138,11127,17011,39.54,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,40875,L3,709,709,18434,70,18364,0.38,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,40875,Overall,709,2164,61193,24383,36810,39.85,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,51203,L1,531,531,10620,3793,6827,35.72,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,51203,L2,531,531,18585,162,18423,0.87,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,51203,L3,531,531,13806,7,13799,0.05,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,51203,Overall,531,1593,43011,3962,39049,9.21,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,51204,L1,476,476,9520,3107,6413,32.64,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,51204,L2,476,476,16660,188,16472,1.13,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,51204,L3,476,476,12376,3,12373,0.02,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,51204,Overall,476,1428,38556,3298,35258,8.55,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,52047,L1,412,412,8240,3346,4894,40.61,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,52047,L2,412,412,14420,119,14301,0.83,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,52047,L3,412,412,10712,0,10712,0.0,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,52047,Overall,412,1236,33372,3465,29907,10.38,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,52048,L1,402,402,8040,2843,5197,35.36,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,52048,L2,402,402,14070,98,13972,0.7,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,52048,L3,402,402,10452,14,10438,0.13,2026-09-11T20:26:01.488948+00:00
2026-09-12,2026-09-07,52048,Overall,402,1206,32562,2955,29607,9.07,2026-09-11T20:26:01.488948+00:00
2026-09-13,2026-09-07,39282,L1,693,693,14101,11826,2275,83.87,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,L2,693,727,26011,8004,18007,30.77,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,L3,693,693,18018,143,17875,0.79,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,Overall,693,2113,58130,19973,38157,34.36,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,40875,L1,709,709,14621,13186,1435,90.19,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,40875,L2,709,746,28138,11317,16821,40.22,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,40875,L3,709,709,18434,70,18364,0.38,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,40875,Overall,709,2164,61193,24573,36620,40.16,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,51203,L1,531,531,10620,3793,6827,35.72,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,51203,L2,531,531,18585,162,18423,0.87,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,51203,L3,531,531,13806,14,13792,0.1,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,51203,Overall,531,1593,43011,3969,39042,9.23,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,51204,L1,476,476,9520,3107,6413,32.64,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,51204,L2,476,476,16660,188,16472,1.13,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,51204,L3,476,476,12376,3,12373,0.02,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,51204,Overall,476,1428,38556,3298,35258,8.55,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,52047,L1,412,412,8240,3346,4894,40.61,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,52047,L2,412,412,14420,119,14301,0.83,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,52047,L3,412,412,10712,0,10712,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,52047,Overall,412,1236,33372,3465,29907,10.38,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,52048,L1,402,402,8040,2843,5197,35.36,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,52048,L2,402,402,14070,98,13972,0.7,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,52048,L3,402,402,10452,14,10438,0.13,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,52048,Overall,402,1206,32562,2955,29607,9.07,2026-09-12T20:10:25.613305+00:00
